name,data/gplus_large.edges
n,120100
d,104947

c,time (milliseconds),space (bytes),succeed
3,337554740,200611344,true
4,222434007,253769984,true
5,160117951,250378300,true
6,146028779,264214768,true
7,52214750,117746444,true
8,122804871,262032324,true
9,147484951,308918716,true
10,109954593,291281716,true
11,90454963,255087368,true
12,85049935,246237556,true
13,82635844,226113464,true
14,102390599,273954228,true
15,79029610,238718264,true
16,84915746,277620960,true
17,69926226,241260960,true
18,67999024,219818824,true
19,94063011,332986952,true
20,101621964,339375976,true
